@kvs1980m-words	@kvs1980m	1926.939	1927.248	ты
@kvs1980m-words	@kvs1980m	1927.248	1927.557	дважды
@kvs1980m-words	@kvs1980m	1927.557	1927.866	уже
@kvs1980m-words	@kvs1980m	1927.866	1928.175	по-моему
@kvs1980m-words	@kvs1980m	1928.175	1928.484	проехался
@kvs1980m-words	@kvs1980m	1928.484	1928.793	со
@kvs1980m-words	@kvs1980m	1928.793	1929.102	стендап-шоу
@kvs1980m-words	@kvs1980m	1929.102	1929.411	по
@kvs1980m-words	@kvs1980m	1929.411	1929.72	стране
@kvs1980m-words	@kvs1980m	1929.72	1930.029	правильно
@kvs1980m-words	@kvs1980m	1930.029	1930.338	/
@kvs1980m-words	@kvs1980m	1930.338	1930.647	соответственно
@kvs1980m-words	@kvs1980m	1930.647	1930.956	ты
@kvs1980m-words	@kvs1980m	1930.956	1931.265	мог
@kvs1980m-words	@kvs1980m	1931.265	1931.574	оценить
@kvs1980m-words	@kvs1980m	1931.574	1931.883	/
@kvs1980m-words	@kvs1980m	1931.883	1932.192	чего
@kvs1980m-words	@kvs1980m	1932.192	1932.501	твоя
@kvs1980m-words	@kvs1980m	1932.501	1932.81	аудитория
@kvs1980m-words	@kvs1980m	1932.81	1933.119	про
@kvs1980m-words	@kvs1980m	1933.119	1933.428	тебя
@kvs1980m-words	@kvs1980m	1933.428	1933.737	думает
@kvs1980m-words	@kvs1980m	1933.737	1934.046	/
@kvs1980m-words	@kvs1980m	1934.046	1934.355	и
@kvs1980m-words	@kvs1980m	1934.355	1934.664	вот
@kvs1980m-words	@kvs1980m	1934.664	1934.973	эти
@kvs1980m-words	@kvs1980m	1934.973	1935.282	вещи
@kvs1980m-words	@kvs1980m	1935.282	1935.591	они
@kvs1980m-words	@kvs1980m	1935.591	1935.9	заходят
@kvs1980m-words	@kvs1980m	1935.9	1936.209	доходят
@kvs1980m-words	@kvs1980m	1936.209	1936.518	не
@kvs1980m-words	@kvs1980m	1936.518	1936.827	доходят
@kvs1980m-words	@kvs1980m	1936.827	1937.136	или
@kvs1980m-words	@kvs1980m	1937.136	1937.445	/
@kvs1980m-words	@kvs1980m	1937.445	1937.754	или
@kvs1980m-words	@kvs1980m	1937.754	1938.063	просто
@kvs1980m-words	@kvs1980m	1938.063	1938.372	поржать
@kvs1980m-words	@kvs1980m	1938.372	1938.681	народ
@kvs1980m-words	@kvs1980m	1938.681	1939.0	собирается
@kvs1980m-words	@kvs1980m	1949.123	1949.315	и
@kvs1980m-words	@kvs1980m	1949.315	1949.507	что
@kvs1980m-words	@kvs1980m	1949.507	1949.699	же
@kvs1980m-words	@kvs1980m	1949.699	1949.891	не
@kvs1980m-words	@kvs1980m	1949.891	1950.083	удавалось
@kvs1980m-words	@kvs1980m	1950.083	1950.275	никак
@kvs1980m-words	@kvs1980m	1950.275	1950.467	с
@kvs1980m-words	@kvs1980m	1950.467	1950.659	залом
@kvs1980m-words	@kvs1980m	1950.659	1950.851	пообщаться
@kvs1980m-words	@kvs1980m	1950.851	1951.043	и
@kvs1980m-words	@kvs1980m	1951.043	1951.235	понять
@kvs1980m-words	@kvs1980m	1951.235	1951.429	вообще
@kvs1980m-words	@kvs1980m	1951.748	1952.073	кто
@kvs1980m-words	@kvs1980m	1952.073	1952.398	/
@kvs1980m-words	@kvs1980m	1952.398	1952.723	кто
@kvs1980m-words	@kvs1980m	1952.723	1953.048	эти
@kvs1980m-words	@kvs1980m	1953.048	1953.373	люди
@kvs1980m-words	@kvs1980m	1953.373	1953.698	которые
@kvs1980m-words	@kvs1980m	1953.698	1954.025	[нрзб]
@kvs1980m-words	@kvs1980m	1979.636	1980.57	[смеются]
@kvs1980m-words	@kvs1980m	1988.039	1988.304	ну
@kvs1980m-words	@kvs1980m	1988.304	1988.569	это
@kvs1980m-words	@kvs1980m	1988.569	1988.834	было
@kvs1980m-words	@kvs1980m	1988.834	1989.099	бы
@kvs1980m-words	@kvs1980m	1989.099	1989.365	интересно
@kvs1980m-words	@kvs1980m	1990.161	1990.41	нет
@kvs1980m-words	@kvs1980m	1990.41	1990.659	не
@kvs1980m-words	@kvs1980m	1990.659	1990.908	не
@kvs1980m-words	@kvs1980m	1990.908	1991.157	меня
@kvs1980m-words	@kvs1980m	1991.157	1991.406	честно
@kvs1980m-words	@kvs1980m	1991.406	1991.655	мне
@kvs1980m-words	@kvs1980m	1991.655	1991.904	интересно
@kvs1980m-words	@kvs1980m	1991.904	1992.153	вот
@kvs1980m-words	@kvs1980m	1992.153	1992.402	то
@kvs1980m-words	@kvs1980m	1992.402	1992.651	что
@kvs1980m-words	@kvs1980m	1992.651	1992.9	ты
@kvs1980m-words	@kvs1980m	1992.9	1993.149	говоришь
@kvs1980m-words	@kvs1980m	1993.149	1993.398	/
@kvs1980m-words	@kvs1980m	1993.398	1993.647	я
@kvs1980m-words	@kvs1980m	1993.647	1993.896	я
@kvs1980m-words	@kvs1980m	1993.896	1994.145	видел
